序号,MD5,名称,介绍,模型UID,模型参数及说明,是否有示例数据（资源）,display_name_en
1,6d5b39c521ff401cf5be921180e1c151,1978Texas冬小麦产量区域尺度的估计,,16488859-aaab-4b71-80b2-57bd214dffd5,"输入: a-回归系数(REAL), b-回归系数(REAL), c-回归系数(REAL), y-农业气象学模型的估计结果(REAL), I_green-MSS数据得到的绿度指数值(REAL) | 输出: double-小麦产量(REAL)",,1978 Texas Winter Wheat Yield Estimation
200,0fc10e4c2f9ca9458e70a18e44f52597,农作物大气中吸收CO2,,9255d3a8-7bc7-47bd-a638-31221c4abde0,"输入: delta-未知参数(REAL), ra-大气阻尼(REAL), rd-由于干燥的顶层而附加的阻尼(REAL), rm-CO2在气孔与光合作用位置间扩散时的叶肉阻尼(REAL) | 输出: double-农作物大气中吸收CO2(REAL)",,Crop Atmospheric CO2 Uptake Model
201,f8e0711525c72b1e99843a36b105eb82,农作物系数,,ff43b009-bfea-4f06-8674-a4c9479db4f9,"输入: E-总蒸发量(REAL), Er-参照蒸发量(REAL) | 输出: Kc-农作物系数(REAL)",,Crop Coefficient
202,3d977892407b0f5dc6d2fa6f4e16f8dd,农田中杂草的生态位宽度B模型,,4000e861-203e-4b78-a047-be41421e37a1,"输入: s-样点数(INT), IV[]-杂草在样点中的重要值(REAL_ARRAY) | 输出: double-农田中杂草的生态位宽度值(REAL)",,Weed Niche Breadth B Model
203,995267b59866cab64a73e3880f02ba48,农田初级生产者呼吸量R模型,,28a63057-6b97-4aa0-9de5-92abed21ea42,"输入: alpha-氧卡系数(REAL), W-棉株重量(REAL), deltaw_deltat-单位时间内棉株重量的变化(REAL), a-棉株的呼吸常数(REAL), b-参数(REAL) | 输出: R-农田初级生产者呼吸量(REAL)",,Primary Producer Respiration R Model
204,5debf3a17cbf7f73e29abee4f635a6f0,农田土壤水量平衡模型,,05b9a270-6a72-493c-9e1e-ee97263211a4,"输入: Sw_1-计算时段开始的土壤含水量(REAL), Ir-计算时段内的灌溉水量(REAL), P-计算时段内的降水量(REAL), ET-计算时段内的蒸散发量(REAL), R-计算时段内的径流量(REAL), DR-计算时段内的测向排水量(REAL) | 输出: double-农田土壤水量平衡(REAL)",,Farmland Soil Water Balance Model
205,c0d845eaab14229677c859ac534fe948,农田土壤流失量模型,,eddb0afe-e84e-456b-99fa-0befced9c200,输入: P-6~8月降水量（mm）(REAL) | 输出: W-年土壤流失量(1×10000t)(REAL),,Farmland Soil Loss Model
206,8d4dc198d7f59c10187021efbfcaecd4,冠层BRDF模型,,3eff34c2-7ec6-4aff-ba4a-0f3d5341eac6,"输入: c0-线性参数(REAL), c1-线性参数(REAL), k-函数核(REAL) | 输出: r1-二向反射分布函数参数(REAL)",,Canopy BRDF Model
207,18888ac47f306c7b6bfed76155dbe35e,冠层反射系数,,a9579c14-4b15-4267-99e6-09f0164815f0,"输入: gam-湿度计常数(REAL), es-在地表温度时的饱和水蒸气压(REAL), ea-空气中的水蒸气压(REAL), ra-显热和潜热通量的空气动力学阻力(REAL), rou-潮湿空气的密度(REAL), cp-定压热容量(REAL), Rn-净辐射(REAL), H-显热通量(REAL), G-地面热通量(REAL) | 输出: double-反射系数(REAL)",,Canopy Reflectance Coefficient
208,5c960e350fb473d8c25db3caf2bb1ca4,冠层反射系数CR计算模型,,ca7adbed-7f2a-4cc6-9e33-590d190aa70c,"输入: thetv-视顶角(REAL), phis-太阳方位角(REAL), phiv-视方位角(REAL), phir-行方位角(REAL), a-依赖于太阳方向和冠层参数的常数(REAL), b-依赖于太阳方向和冠层参数的常数(REAL), c-依赖于太阳方向和冠层参数的常数(REAL), d-依赖于太阳方向和冠层参数的常数(REAL) | 输出: double-冠层反射系数(REAL)",,Canopy Reflectance Coefficient (CR) Model
209,1aa619c32e38e17f022e1089f0a984f9,冠层受到的净辐射计算公式,,60acd9e0-572a-40bd-ae36-b80fd86368eb,"输入: C-冠层失去的垂直方向上的显热(REAL), E-水分蒸腾消耗的潜热(REAL), D-水平热通量(REAL), G-传输到土壤或根部的热量(REAL), J-以物理方式储存在冠层内的热量(REAL), uA-通过光和作用储存的化学热(REAL) | 输出: double-冠层受到的净辐射(REAL)",,Canopy Net Radiation Formula
210,8c026f8231bafec2ba7cc26c14ac320f,冠层的能量平衡方程,,3912fa16-1568-4508-8afc-8477f22c4481,"输入: pcp-空气的体积热容量(REAL), r_-湿度计常数(REAL), ec-叶表面的空气的水蒸气压(REAL), eac-冠层内的空气的水蒸气压(REAL), rac-叶边界层对水蒸气和显热传输的空气动力学阻率(REAL), ra-冠层上方的空气对水蒸气和显热传输的空气动力学阻率(REAL), Tc-叶片的温度(REAL), Tac-冠层空气的温度(REAL) | 输出: double-冠层的能量平衡(REAL)",,Canopy Energy Balance Equation
211,6704d4f90336ec311d16cfab9c5b66bc,冬季的幸存者,,1c2aebd9-225b-4922-9e6f-fb9312aa52b5,"输入: Wt-在t年时的过冬能力(REAL), Nt-是指实际的群体大小(REAL), Df-是指该种群的一半密度依赖因素(REAL) | 输出: double-冬季的幸存者(REAL)",,Winter Survivors Model
212,63925f455a6e574bf6222bea0308953b,净全波长辐射,,ea5d558f-914b-4589-96e6-0731fce5aa1b,"输入: K-入射太阳辐射的测量值(REAL), O-与空间位置有关的太阳辐射获得系数(REAL), alp-空间位置的漫反射率(REAL), L-入射长波辐射测量值(REAL), epsilon-表面发射率(REAL), sigma-Stefan-Boltzmann常数(REAL), T-平均表面温度(REAL) | 输出: Rn-净全波长辐射(REAL)",,Net All-Wave Radiation
213,73eda632095bdf705055caca39167da4,净初级生产的分布函数,,25b0069a-84e0-4869-8cc6-c0b26ed34460,"输入: B2-时间1的生物量(REAL), B1-时间2的生物量(REAL) | 输出: NPP-净初级生产的分布函数(REAL)",,Net Primary Production Distribution Function
214,ed7d2a438f7e2081fcb3fc73563d6ca4,净同化率E模型,,d4744106-7099-420c-b61e-23635dbfaa39,"输入: W2-观测值株干重(REAL), W1-观测值株干重(REAL), T2-无(REAL), T1-无(REAL), Ln-无(REAL), L2-叶面积(REAL), L1-叶面积(REAL) | 输出: E-净同化率(REAL)",,Net Assimilation Rate E Model
215,693363c66d1724bc77fe93ac5cb0b592,净太阳辐射,,39c4c239-a700-4c8a-9844-7adcf9919731,"输入: K-入射太阳辐射的测量值(REAL), O-与空间位置有关的太阳辐射获得系数(REAL), alp-空间位置的漫反射率(REAL) | 输出: K1-净太阳辐射(REAL)",,Net Solar Radiation
216,eb65beb34dbcafcccb11d1a01c2f17f9,净新叶的光合作用方程,,33d4a9d3-debd-4142-ac70-fc3dbb32c886,"输入: B32-基于碳收支从实验结果外推的净新叶光合作用率的比值(REAL), B33-净新叶光合作用的速率常数(REAL), G110-周平均白昼长度(REAL), X10-新叶碳含量(REAL), T1-光合作用表达式的对数部分(REAL), G102-温度对光合作用的影响项(REAL), B35-叶片对短波辐射的衰减系数(REAL), G49-新叶的周平均气孔阻力(REAL), G61-总的叶碳含量(REAL) | 输出: G24-净新叶光合作用率(REAL)",,Net New Leaf Photosynthesis Equation
217,626a7c9953e3b887559e4c10880bd09d,净生产量Pn模型,,f32621a0-7d2a-4921-a24b-adc05c03393a,"输入: deltaB-两次调查测定期间内的生物量净增量(REAL), L-凋落物量(REAL), Ig-第二性生物的消耗量(REAL), Exp-森林干物质的输出量(REAL), Imp-输入量(REAL) | 输出: Pn-净生产量(REAL)",,Net Production Pn Model
218,2343f3f74b30c050ddc7472f9bbbd1dc,净能值产出率,,901577a0-0156-4dfb-b80c-7852ceefd0ba,"输入: R-可更新资源通过环境系统对社会经济系统产生的作用(REAL), N-不可更新资源(REAL), IMP-社会资源系统在运作过程中同时接受的反馈输入(REAL) | 输出: double-净能值产出率(REAL)",,Net Emergy Yield Ratio
219,faa9ebb57fbd8b1bd7e1a94c4c81718c,净表面短波辐射,,c9d0bb10-2e5f-4c5e-a476-9b61da610927,"输入: DSSR-表面短波辐射(REAL), As-表面漫反射系数(REAL) | 输出: double-净表面短波辐射(REAL)",,Net Surface Shortwave Radiation
220,6686ce7f8259a725997880b977b45857,净辐射方程,,9909f94b-5531-4b4c-bb26-31c3c4dea3d9,"输入: R_si-相对于表面的太阳辐射的入射通量(REAL), R_so-相对于表面的太阳辐射的出射通量(REAL), R_li-相对于表面的长波辐射的入射通量(REAL), R_lo-相对于表面的长波辐射的出射通量(REAL) | 输出: double-净辐射(REAL)",,Net Radiation Equation
221,79ea753ca2ab03d74c40a1d868e5cf19,净长波辐射,,717e9302-3563-4a48-9591-d84385c12ae8,"输入: L-入射长波辐射测量值(REAL), epsilon-表面发射率(REAL), sigma-Stefan-Boltzmann常数(REAL), T-平均表面温度(REAL) | 输出: L1-净长波辐射(REAL)",,Net Longwave Radiation
222,2443bebd4fe7d166173d60e38b81d0ca,分光光度法,,c4436f63-88c8-41d3-aa46-31fd5fabc49d,"输入: Klambda-吸光系数(REAL), Lthick-待测溶液的吸收层厚度(REAL), C-待测溶液的吸收层浓度(REAL) | 输出: Dlambda-待测溶液在波长lambda上的吸光度(REAL)",,Spectrophotometry Formula
223,6b83330a311f87a886780c7e6163e654,分室1中60Co量对时间的变化率,,076aa134-c1d5-4441-a1fc-3808720177e7,"输入: k12-60Co由第1分室向第2分室转移的速率(REAL), k13-60Co由第1分室向第3分室转移的速率(REAL), k21-60Co由第2分室向第1分室转移的速率(REAL), q1-分室1中60Co量(REAL), q2-分室2中60Co量(REAL) | 输出: dq1_dt-分室1中60Co量对时间的变化率(REAL)",,Compartment 1 60co Rate Of Change
224,f54c31d226f31f09fe4e74051dfb05fd,分室2中60Co量对时间的变化率,,6b3b6c44-9d67-4cf3-b459-3e564aa731da,"输入: k12-60Co由第1分室向第2分室转移的速率(REAL), k23-60Co由第2分室向第3分室转移的速率(REAL), k21-60Co由第2分室向第1分室转移的速率(REAL), q1-分室1中60Co量(REAL), q2-分室2中60Co量(REAL) | 输出: dq2_dt-分室2中60Co量对时间的变化率(REAL)",,Compartment 2 60co Rate Of Change
225,6acdfadc61d5ca0a650335585eac40a9,分室3中60Co量对时间的变化率,,599d67cb-7458-42a5-88ca-b63f4433f910,"输入: k13-60Co由第1分室向第3分室转移的速率(REAL), k23-60Co由第2分室向第3分室转移的速率(REAL), q1-分室1中60Co量(REAL), q2-分室2中60Co量(REAL) | 输出: dq3_dt-分室3中60Co量对时间的变化率(REAL)",,Compartment 3 60co Rate Of Change
226,8c157fa4f998da0a49dbafd91aebf818,分离窗算法,,557e49d1-379a-4727-8b8f-400320cf5ed6,"输入: T1-波段1的辐射温度(REAL), T2-波段2的辐射温度(REAL), AA-模型系数(REAL), BB-模型系数(REAL) | 输出: T0-真实表面温度(REAL)",,Split-Window Algorithm
227,a61ff36d8affbfaf50327866fa61b666,分类的误差或偏差比例,,07cee03e-3491-4902-8daa-1267fb5975c9,"输入: Pc-委托误差率(REAL), P0-忽略误差率(REAL), rate-真实比例(REAL) | 输出: double-分类的误差(REAL)",,Classification Error Or Bias Proportion
228,5f9241e8292393cac33f575158cbbf9c,分维值D模型,,0c43ea71-1dd9-4642-a968-5fd444e06066,"输入: N-N(REAL), L-L(REAL), Lmax-Lmax(REAL), d-d(REAL) | 输出: D-分维值(REAL)",,Fractal Dimension D Model
229,fdfb5256a6aee32d3f0f65e190a2d70b,分解速率模型,,a0a956e2-2872-41ec-a6f6-0ff68aa88e7c,"输入: W2-t2时的重量(REAL), W1-枯枝落叶在t1时的重量(REAL), t2-参数(REAL), t1-参数(REAL) | 输出: r-分解速率(REAL)",,Decomposition Rate Model
230,49a41bd447cde82a1db5a593e1758813,分选系数模型,,b3502cb4-1573-4189-a79f-b1e29e6e85b3,"输入: n-该样品所有粒径组分的数目(INT), P-样品中粒径为Xi的组分出现的频率(REAL_ARRAY), X-粒径xi(REAL_ARRAY) | 输出: double-分选系数(REAL)",,Sorting Coefficient Model
231,4985e7e0dfe3e110f08f3ce8b28a3aec,分配系数R模型,,1c2e2b4a-a8c4-49c3-8ea4-6db7289b6c48,"输入: WL-为t时刻叶干重实测值(REAL), WS-为t时刻茎梢干重实测值(REAL), WSO-为t时刻穗的干重实测值(REAL), WL1-为t+1时刻叶干重实测值(REAL), WS1-为t+1时刻茎梢干重实测值(REAL), WSO1-为t+1时刻穗的干重实测值(REAL), W1-为t+1时刻总干重的实测值(REAL), W-为t时刻总干重的实测值(REAL) | 输出: R-分配系数(NODE)",,Allocation Coefficient R Model
232,c34b9c307a1a7f35f108033d55719c7f,初始种群密度和最终种群密度之间的关系模型--植物产量y（没有线虫时的产量）和线虫密度Pi之间的关系，Seinhorst模型,,3a44a162-ae71-4567-aebe-bb6cd8d82d27,"输入: m-当所有可用空间都被线虫占据时的最小产量(REAL), z-对于每个增加的线虫引起的最小值之上的产量降低(REAL), Pi-预期块茎产量的减少量(REAL), T-线虫密度的边界值(REAL) | 输出: y-植物产量(REAL)",,Seinhorst Yield-Nematode Density Model
233,5085641cfa912a8db11e848aead223a6,初始种群密度和最终种群密度之间的关系模型--植物产量y（没有线虫时的产量）和线虫密度Pi之间的关系，反线性模型,,31f19e05-449b-4dab-b8aa-e1497fa387ed,"输入: m-当所有可用空间都被线虫占据时的最小产量(REAL), a-决定增加率的参数(REAL), Pi-预期块茎产量的减少量(REAL) | 输出: y-植物产量(REAL)",,Inverse Linear Yield-Nematode Density Model
234,82c69fb291b16ff27a9bad44eab4823c,初始种群密度和最终种群密度之间的关系模型--马铃薯囊线虫的初始种群密度和最终种群密度之间的关系，模型A,,28dcead1-d9cf-42c8-9c4e-b236515106fe,"输入: f-每个雌性个体平均的产卵数量(REAL), H-成功侵入根部的幼年个体的数量(REAL), Cp-未孵化囊胞的遗留部分(REAL), Pi-线虫的初始种群密度(REAL), b-雌性和雄性的比率和根内幼体密度之间的比例常数(REAL), h-根的密度(REAL), z-对于每个增加的线虫引起的最小值之上的产量降低(REAL) | 输出: Pf-线虫的最终种群密度(REAL)",,Potato Cyst Nematode Pi-Pf Model A
235,38ac79b39080480ce6d8822969dd6f7f,初始种群密度和最终种群密度之间的关系模型--马铃薯囊线虫的初始种群密度和最终种群密度之间的关系，模型B,,2517ef3c-ed72-4e8e-8394-085d668f77f4,"输入: f-每个雌性个体平均的产卵数量(REAL), H-成功侵入根部的幼年个体的数量(REAL), Cp-未孵化囊胞的遗留部分(REAL), Pi-线虫的初始种群密度(REAL), b-雌性和雄性的比率和根内幼体密度之间的比例常数(REAL), h-根的密度(REAL), z-对于每个增加的线虫引起的最小值之上的产量降低(REAL), m-当所有可用空间都被线虫占据时的最小产量(REAL) | 输出: Pf-线虫的最终种群密度(REAL)",,Potato Cyst Nematode Pi-Pf Model B
236,afd02853652d330c6b04cadb9717d027,初始种群密度和最终种群密度之间的关系模型--马铃薯囊线虫的初始种群密度和最终种群密度之间的关系，模型C,,99e2abdc-3971-4dee-bcba-c845962fb7be,"输入: m-当所有可用空间都被线虫占据时的最小产量(REAL), z-对于每个增加的线虫引起的最小值之上的产量降低(REAL), Pi-线虫的初始种群密度(REAL), a-决定增加率的参数(REAL), q-当密度Pi=1时1-q是可用的觅食空间(REAL), Cp-未孵化囊胞的遗留部分(REAL) | 输出: Pf-线虫的最终种群密度(REAL)",,Potato Cyst Nematode Pi-Pf Model C
237,9469c19d5ac632beb064f302e7e6d538,初始种群密度和最终种群密度之间的关系模型--马铃薯囊线虫的初始种群密度和最终种群密度之间的关系，模型D,,3f178530-8036-4beb-87a6-44db4ad207d7,"输入: f-每个雌性个体平均的产卵数量(REAL), H-成功侵入根部的幼年个体的数量(REAL), Cp-未孵化囊胞的遗留部分(REAL), Pi-线虫的初始种群密度(REAL), b-雌性和雄性的比率和根内幼体密度之间的比例常数(REAL), h-根的密度(REAL), k-k=1/a(REAL) | 输出: Pf-线虫的最终种群密度(REAL)",,Potato Cyst Nematode Pi-Pf Model D
238,65a41ae7b92c700626d95691353f87e0,初级生产力模型,,6ca0650a-0517-447c-ba96-bf95ecc7847a,"输入: Sn-生态系统中氮的净输入量(REAL), lnN-矿化氮的滤去值(REAL), betat-参数(REAL) | 输出: phi-初级生产力(REAL)",,Primary Productivity Model
239,d4a064d21da2abbbbf974d28fcaf36c9,利用GMS-5的VISSR数据的LST算法（无水蒸气资料）,,c2df92dc-1df4-4e2b-8656-a4d60c744e1d,"输入: T4-波段4的卫星亮度温度(REAL), T5-波段4的卫星亮度温度(REAL), Kappa-开尔文数(REAL), Xi-中间参量(REAL) | 输出: GMS5a-利用GMS-5的VISSR数据的LST算法(REAL)",,GMS-5 VISSR LST Algorithm (no Water Vapor)
240,919035f285ab06b5155130e9a9fc5eca,利用GMS-5的VISSR数据的LST算法（有可降水量资料）,,f5012195-b072-4def-b687-067a52cf3feb,"输入: T4-T4(REAL), T5-线性回归系数(REAL), alpha-线性回归系数(REAL), epcil-AVHRR波段4的卫星亮度温度(REAL), deltaepcil-AVHRR波段5的卫星亮度温度(REAL), beta-AVHRR波段5的卫星亮度温度(REAL) | 输出: GMS5b-利用GMS-5的VISSR数据的LST算法(REAL)",,GMS-5 VISSR LST Algorithm (with Precipitable Water)
241,da88d523f68539c7d40945d5f85f457f,利用SIR-CX-SAR图像描述北部森林的碳特性,,74e284e2-3bce-461f-97d7-31d5d63fb810,"输入: Wbgi-地面下生物量(REAL), Wagi-地面上生物量(REAL), Si-嫩芽的图像(REAL) | 输出: R-根的图像(REAL)",,Sir-C/x-Sar Forest Carbon Characterization
242,a334311dc57854d096b5c0eea0e08fa4,利用相关松弛法寻找GOP--一致性强度C模型,,d9f5fc95-6a42-495c-ab1f-f0fbba8933f6,"输入: d1-向量(REAL), d2-向量(REAL), L1-两个向量起点间距离(REAL), L2-调节参数(REAL), thet-两个向量的夹角(REAL) | 输出: C-一致性强度(REAL)",,GOP Correlation Relaxation Consistency Strength C Model
243,9ec87a441c3c43d9a40a1b18da7f0dde,利用相关松弛法寻找GOP--由支持强度修正向量的概率模型,,c61ce439-3ef6-4d01-b534-7b2b3d119c73,"输入: Pi-第n次循环循环时第i个相关系数矩阵中第r个向量的概率值(REAL_ARRAY), Si-第n次循环循环时第i个相关系数矩阵中第r个向量的一致性强度(REAL_ARRAY), Pik-第n次循环循环时第i个相关系数矩阵中第k个向量的概率值(REAL), Sik-第n次循环循环时第i个相关系数矩阵中第k个向量的一致性强度(REAL), n-第j个相关系数矩阵(INT), r1-循环的次数(INT) | 输出: Pikn1-第n+1次循环循环时第i个相关系数矩阵中第k个向量的概率值(REAL)",,GOP Correlation Relaxation Vector Probability Model
244,62e6139c7120b4ce9ffcf5e7cc7ff978,制图准确度评估模型--相对效率,,12573374-22fe-407c-b2d2-51fe38625848,"输入: M-每个簇中的样本单元数(REAL), rho-簇内相关系数(REAL) | 输出: Z-相对效率(REAL)",,Cartographic Accuracy Assessment: Relative Efficiency
245,96cc3e62655bec9c362a632b8478e90a,前期降水指数,,4703a0b9-4247-4c74-b7a4-45e4e604a372,"输入: Ep-前一天的总的可能蒸散量(REAL), Z-土壤层的深度(REAL), th_fc-土壤饱和值对应的土壤体积水分含量(REAL), th_w-土壤枯萎点对应的土壤体积水分含量(REAL), Iap_1-前一天的降水指数(REAL), P_1-前一天的降水(REAL) | 输出: double-前期降水指数(REAL)",,Antecedent Precipitation Index
246,40cebee6c3efca0b9a88f9fda35d8a64,剩余标准差模型,,62932c56-009c-439e-aee3-66e9b879591f,"输入: Q-剩余离差平方和(REAL), n-因变量y的个数(INT), m-偏回归系数个数(INT) | 输出: double-剩余标准差(REAL)",,Residual Standard Deviation Model
247,93de348faf61cc69e9340961598cc0c8,加密点预期精度估算公式--平面位置加密误差,,0a451dd5-bf6b-4fd7-a20a-94fda37146a9,"输入: K-为像片比例尺与成图比例尺分母之比(REAL), n0-为加密的基线数(REAL), mq-为上下视差观察中误差(REAL) | 输出: Ms-平面位置加密误差(REAL)",,Control Point Accuracy Formula: Planimetric Error
248,dee08067acc804be0a6fe81917c703cc,加密点预期精度估算公式--高程位置加密误差,,9254d953-0750-47d1-a9dd-5d60d915b95e,"输入: n0-为加密的基线数(REAL), b0-为航片基线长(REAL), H-为相对航高(REAL), mq-为上下视差观察中误差(REAL) | 输出: Mh-高程位置加密误差(REAL)",,Control Point Accuracy Formula: Elevation Error
249,f0515c700192ac9817d00b8c8ba6f2c2,动态响应模型,,15c77ddc-267a-403f-92c2-6855103d37a1,"输入: Ut-输入的无机能量密度(REAL), Vt-输入的有机能量密度(REAL), t-参数(INT) | 输出: Yt-输出的能量密度(REAL)",,Dynamic Response Model
250,f94a391b1211c681aaa813e094192245,动态空间生态位宽度模糊贴近度模型,,fb1746ea-cf01-4d4e-bdf8-919b6f62c59b,"输入: muBiT[]-第i种群在Tj处的隶属度(REAL_ARRAY), muBilT[]-第i+1种群在Tj处的隶属度(REAL_ARRAY), n-周数(INT) | 输出: tau-动态空间生态位宽度模糊贴近度(REAL)",,Dynamic Spatial Niche Breadth Fuzzy Closeness Model
251,543098e0887f7d837a7a597fceb605c0,动物种群密度模型,,56e886ca-1d18-4fdc-98a0-466ccdb3b7bd,"输入: x-距离(REAL), w-为能看到动物的最大距离(REAL), k-为曲线系数(REAL) | 输出: Px-为在距离x时看到动物的概率(REAL)",,Animal Population Density Model
252,ea295348a9ade7172d4287aca16e3ec8,包括相应于在叶片的光学厚度堆积层中叶片多重反射率的无限反射率,,4d1089c8-90c0-45d7-aa9e-b09545deef02,"输入: R-树叶的反射系数(REAL), t-树叶的传输系数(REAL) | 输出: double-波段的偏移(REAL)",,Infinite Reflectance With Leaf Multiple Scattering
253,6dff656e19424d6bb7ddb22f577aaa5b,区位商公式,,e59aa8ad-e942-4e71-b8db-54ccea7889c0,"输入: Eij-j城市i部门的就业人数(REAL), Ej-j城市就业总人数(REAL), Ei-j城市在区域i部门的就业人数(REAL), E-区域就业总人数(REAL) | 输出: double-j城市i部门的区位商(REAL)",,Location Quotient Formula
254,9e61c1e50c81b1a39f2576128bcdee1e,区位商计算,,e349b065-054c-4f6f-bb56-25850787bbd3,"输入: Ei-研究区域第i种经济活动水平(REAL), E-研究区域全部经济活动水平(REAL), Ni-整个区域体系第i种经济活动水平(REAL), N-整个区域体系总的经济活动水平(REAL) | 输出: double-区位商(REAL)",,Location Quotient Calculation
255,7440bd5fa7a7c60a94cb10b4e0250703,区域分析的判别函数,,44a18448-20b7-4827-b3d4-cd5dc3e03680,"输入: X-因子值(REAL_ARRAY), C-判别系数(REAL_ARRAY), n-因子数(REAL) | 输出: double-参数(REAL)",,Regional Analysis Discriminant Function
256,5b60383f85b1c8f92abe0bc156daa1c2,区域变量理论--关于弱平稳性的Matheron本质假说定义,,c24afe07-9198-42dc-a07f-fa594a995c70,"输入: Zx-x处空间点(REAL), Zxh-x+h处的空间点(REAL) | 输出: rh-半变量(REAL)",,Matheron Intrinsic Hypothesis Semivariogram Definition
257,c341b2f69b5fe048da22fb0a2e2068bf,区域变量理论--在间隔处h的自相关ph,,b90841bf-6697-4b8b-9cd3-2bbb0c4b1752,"输入: rh-半变量(REAL), sigma-变量(REAL) | 输出: ph-间隔处h的自相关(REAL)",,Autocorrelation At Lag H
258,0bc1a67d4cec3b4eb8a4250777ab1a00,区域可能蒸发量,,74ff4737-14e7-4025-a59f-6e39222b0097,"输入: Rn-净辐射(REAL), a-Priestley-Taylor系数(REAL), del-饱和水蒸气压曲线的斜率(REAL), r_-湿度计常数(REAL) | 输出: double-区域可能蒸发量(REAL)",,Regional Potential Evaporation
259,c4af138c4b4f183a59309bca2ca58cf2,区域总人口的生态承载力,,3fd66a4c-aa59-43a1-9056-b36c92b30113,"输入: N-人口数(REAL), ce-人均生态承载力（hm2.人-1）(REAL) | 输出: double-区域总人口的生态承载力（hm2.人-1）(REAL)",,Ecological Carrying Capacity Of Total Population
260,991ad3ab2bdd42b4fe462ad20d7ef32b,区域总人口的生态足迹,,acfbe868-1d67-4172-bcc1-2874427adf1a,"输入: fc-人均生态足迹(REAL), N-人口数(REAL) | 输出: double-总人口的生态足迹（hm2.人-1）(REAL)",,Ecological Footprint Of Total Population
261,fcd48e2ef17782f6050b5b3eca8f9733,区域系统分析的逻辑斯谛方程,,7e1f047b-d43f-4448-86be-30ee7a1a885e,"输入: r_1-人口的内禀自然增长率(REAL), N_0-t0时刻的人数(REAL), t-时间(REAL), K-环境限制容量(REAL) | 输出: double-人口数(REAL)",,Logistic Equation For Regional System Analysis
262,24fdcdf55ab758047513949bee94aa20,医疗资本计算公式,,837ed5c7-ece2-4ca4-8249-7320ac49ff0f,"输入: M_1-医院经营收入(REAL), M_2-医疗人员工资总额(REAL), S_c-城镇用地(REAL) | 输出: double-医疗资本(REAL)",,Medical Capital Formula
263,bb3821952b4d25702c6b4ba1ff1ac23b,半小时为间隔的二氧化碳净流量,,415989f8-a88b-49ab-9c49-81303510053c,"输入: sigmaw-垂直风速的标准偏差(REAL), rhoair-平均大气密度(REAL), deltaC-平均每隔半小时测得的二氧化碳浓度的差值(REAL) | 输出: Feddy-半小时为间隔的二氧化碳净流量(REAL)",,Half-Hour Net CO2 Flux
264,5a83fbe91459f2a3711f0abafb27d4c8,单个个体影响下的水分可用性,,9b8374c0-f762-43e5-b1f5-ff4c784fbf4b,"输入: H0-不受相邻植物影响下的某一点处的水分可用性(REAL), hR-根对水分可用性影响力的权重因子(REAL), xiR-根部的影响(REAL), hC-植冠对水分可用性影响力的权重因子(REAL), xiC-森林树木物种之下的第i个体在地面以上的植冠影响力(REAL), hS-茎对水分可用性影响力的权重因子(REAL), xiS-茎部影响力(REAL), xiC0-xiC0(REAL), gama-依赖于物种的参数(REAL) | 输出: H-水分可用性(REAL)",,Water Availability Under Single-Individual Influence
265,804966c4c15876bfaf8b337be57ce866,单个窄叶片的能量预算,,6ff51c8f-0a38-462e-923c-6e1eb11423b0,"输入: R-消散条件辐射(REAL), C-消散条件对流(REAL), L-消散条件蒸发潜热(REAL) | 输出: A-单个窄叶片的能量预算(REAL)",,Energy Budget Of A Single Narrow Leaf
266,2f4bb079e77163ad0086a83ed66889da,单位面积土壤辐射功率W模型,,c28b1d48-4f3f-4ad9-ba3a-f340865a5f96,"输入: epsilon-比辐射率(REAL), sigma-波尔兹曼常数(REAL), T-土壤表面温度(REAL) | 输出: double-单位面积土壤辐射功率(REAL)",,Soil Radiative Power Per Unit Area Model
267,e9866dd49770feeafb28618ef1cb33d6,单位面积多年平均土壤流失量,,09c54d88-67b9-4801-844f-8f82a72aa961,"输入: R-降雨侵蚀力因子(REAL), K-土壤可侵蚀性因子(REAL), L-坡长(REAL), S-坡度(REAL), C-作物经营管理因子(REAL), P-水土保持措施因子(REAL) | 输出: A-单位面积多年平均土壤流失量(REAL)",,Mean Annual Soil Loss Per Unit Area
268,f30a17f3360621197096557c16140d37,单位面积的陆地植物群落碳的日积累率,,a9c2d40c-1ece-4c08-a77a-4bf31d8694d8,"输入: Ag-日总的光合作用(REAL), R-自养呼吸作用(REAL) | 输出: double-单位面积的陆地植物群落碳的日积累率(REAL)",,Daily Carbon Accumulation Rate Per Unit Area
269,440d9dd7ff220b3dab6d6805d5427e44,单物种模型,,7cc201ae-875c-4a4e-8b40-7cf25a8812f0,"输入: p12v-是一个未被占据地块的移植概率(REAL), p21v-是地块内物种灭绝的概率(REAL), t-时间(INT) | 输出: v-是在时间t被占据的地块部分(REAL)",,Single-Species Model
270,c1d873a75efecfb4f587b8d305309b09,单种群增长的动态模型,,c4823deb-d3b7-42d4-ad5f-2f276a92743a,"输入: xs-参数(REAL), K1-参数(REAL), K2-参数(REAL), n-参数(REAL) | 输出: xs_1-结果(REAL)",,Dynamic Model Of Single-Population Growth
